,customer_id,name,age,gender,marital_status,education,occupation,salary,loan_amount,credit_limit,credit_utilization,emi_paid,tenure_months,max_dpd,default_status,product_type,enquiry_amount,unique_products_enquired,total_enquiries,transaction_amount,account_balance,is_salary,Credit Card,Home Loan,Personal Loan
0,c662e611-f269-4d48-a67c-02ded1adc37e,Marissa Nguyen,57,Male,Single,PhD,Fitness centre manager,97137,125014.0,46992.0,0.3131768269959644,18.0,53.0,0.0,1.0,Credit Card,33593.5,1.0,2.0,8781.350936685914,7770.924924082595,1.0,True,False,False
1,17a20738-4cbc-44ef-9fe6-9599a56ebd77,Dillon Wilson,44,Male,Married,High School,"Education officer, museum",129702,137802.0,101747.75,0.5880349630293829,54.0,33.8,90.0,0.4,Credit Card,,,,0.0,11251.677988484393,0.0,True,False,False
1,17a20738-4cbc-44ef-9fe6-9599a56ebd77,Dillon Wilson,44,Male,Married,High School,"Education officer, museum",129702,137802.0,101747.75,0.5880349630293829,54.0,33.8,90.0,0.4,Personal Loan,,,,0.0,11251.677988484393,0.0,False,False,True
2,9b77161f-d065-4829-8e9e-be7099d21909,Patricia Gallegos,36,Male,Single,High School,Broadcast journalist,45395,269941.0,145843.0,0.9959518097169301,26.0,37.0,120.0,0.0,Personal Loan,,,,0.0,14115.065993403272,0.0,False,False,True
2,9b77161f-d065-4829-8e9e-be7099d21909,Patricia Gallegos,36,Male,Single,High School,Broadcast journalist,45395,269941.0,145843.0,0.9959518097169301,26.0,37.0,120.0,0.0,Credit Card,,,,0.0,14115.065993403272,0.0,True,False,False
3,12c0e773-60f9-40ea-8928-40330a543c2e,Kim Palmer,19,Male,Single,High School,Social researcher,41151,236367.5,69512.0,0.7760546632054486,36.0,41.5,120.0,0.75,Home Loan,92520.0,1.0,1.0,0.0,10154.788172771236,0.0,False,True,False
3,12c0e773-60f9-40ea-8928-40330a543c2e,Kim Palmer,19,Male,Single,High School,Social researcher,41151,236367.5,69512.0,0.7760546632054486,36.0,41.5,120.0,0.75,Personal Loan,92520.0,1.0,1.0,0.0,10154.788172771236,0.0,False,False,True
3,12c0e773-60f9-40ea-8928-40330a543c2e,Kim Palmer,19,Male,Single,High School,Social researcher,41151,236367.5,69512.0,0.7760546632054486,36.0,41.5,120.0,0.75,Credit Card,92520.0,1.0,1.0,0.0,10154.788172771236,0.0,True,False,False
4,998b226a-07f3-4d34-adc8-3fdc6244c9c8,Dr. Leah Foster,45,Male,Divorced,PhD,"Psychotherapist, child",52369,369239.0,,,23.0,42.666666666666664,60.0,0.3333333333333333,Personal Loan,274880.5,1.0,2.0,0.0,9491.869909168858,0.0,False,False,True
4,998b226a-07f3-4d34-adc8-3fdc6244c9c8,Dr. Leah Foster,45,Male,Divorced,PhD,"Psychotherapist, child",52369,369239.0,,,23.0,42.666666666666664,60.0,0.3333333333333333,Home Loan,274880.5,1.0,2.0,0.0,9491.869909168858,0.0,False,True,False
